Wavelength (nm)	62231 Avg	avg std	62231 scaled avg	sc avg std
1970.0	0.29997	0.010068	1.6934	0.0063687
1975.0	0.30023	0.010081	1.6949	0.0057429
1980.0	0.30069	0.010123	1.6974	0.0046432
1985.0	0.30112	0.010094	1.6999	0.0050707
1990.0	0.30140	0.010169	1.7014	0.0047993
1995.0	0.30187	0.010007	1.7041	0.0055547
2000.0	0.30248	0.0099737	1.7076	0.0059371
2005.0	0.30257	0.010029	1.7081	0.0052381
2010.0	0.30317	0.0098708	1.7115	0.0063865
2015.0	0.30352	0.010051	1.7134	0.0060466
2020.0	0.30407	0.010070	1.7166	0.0058869
2025.0	0.30444	0.0099580	1.7186	0.0053145
2030.0	0.30503	0.0098911	1.7220	0.0068012
2035.0	0.30533	0.0098559	1.7237	0.0062235
2040.0	0.30578	0.0096737	1.7263	0.0071977
2045.0	0.30596	0.010033	1.7272	0.0055500
2050.0	0.30644	0.0099957	1.7300	0.0053779
2055.0	0.30691	0.0099251	1.7326	0.0060141
2060.0	0.30737	0.0097973	1.7353	0.0066251
2065.0	0.30744	0.0098184	1.7356	0.0069011
2070.0	0.30806	0.0098659	1.7391	0.0061246
2075.0	0.30868	0.0096653	1.7426	0.0073705
2080.0	0.30887	0.0098320	1.7437	0.0071726
2085.0	0.30949	0.0098160	1.7472	0.0072854
2090.0	0.30987	0.0098326	1.7494	0.0071868
2095.0	0.31043	0.0097422	1.7525	0.0072621
2100.0	0.31070	0.0095374	1.7541	0.0089078
2105.0	0.31110	0.0094247	1.7564	0.0092699
2110.0	0.31159	0.0096820	1.7591	0.0080374
2115.0	0.31197	0.0097264	1.7613	0.0085286
2120.0	0.31253	0.0096181	1.7644	0.0089875
2125.0	0.31308	0.0096684	1.7675	0.0084480
2130.0	0.31343	0.0096589	1.7695	0.0085711
2135.0	0.31404	0.0095607	1.7729	0.0091181
2140.0	0.31431	0.0097945	1.7744	0.0086753
2145.0	0.31471	0.0097499	1.7767	0.0086901
2150.0	0.31494	0.0097017	1.7780	0.0086674
2155.0	0.31533	0.0095130	1.7802	0.0097147
2160.0	0.31565	0.0095015	1.7821	0.0099533
2165.0	0.31586	0.0098404	1.7832	0.0079245
2170.0	0.31608	0.0098268	1.7845	0.0082256
2175.0	0.31674	0.0098995	1.7881	0.0080301
2180.0	0.31707	0.0099121	1.7900	0.0085251
2185.0	0.31743	0.0099551	1.7920	0.0090992
2190.0	0.31783	0.010105	1.7943	0.0085746
2195.0	0.31835	0.0099149	1.7973	0.0091854
2200.0	0.31887	0.010088	1.8002	0.0085733
2205.0	0.31964	0.010129	1.8045	0.0089553
2210.0	0.32012	0.010180	1.8072	0.0089567
2215.0	0.32054	0.0099997	1.8096	0.010058
2220.0	0.32109	0.010131	1.8127	0.010528
2225.0	0.32156	0.010171	1.8154	0.0089289
2230.0	0.32191	0.010185	1.8174	0.010142
2235.0	0.32233	0.010215	1.8197	0.0099125
2240.0	0.32283	0.010085	1.8225	0.010247
2245.0	0.32329	0.010123	1.8251	0.010171
2250.0	0.32371	0.010149	1.8275	0.011159
2255.0	0.32458	0.0097050	1.8325	0.012489
2260.0	0.32510	0.010080	1.8354	0.010991
2265.0	0.32565	0.010237	1.8385	0.0088126
2270.0	0.32623	0.010174	1.8417	0.0093235
2275.0	0.32703	0.010251	1.8463	0.0095016
2280.0	0.32750	0.010126	1.8489	0.0095723
2285.0	0.32777	0.010322	1.8504	0.0080447
2290.0	0.32832	0.010332	1.8535	0.0087296
2295.0	0.32874	0.010535	1.8559	0.0084254
2300.0	0.32921	0.010404	1.8585	0.0075962
2305.0	0.32981	0.010273	1.8619	0.0082451
2310.0	0.33020	0.010431	1.8641	0.0075053
2315.0	0.33049	0.010254	1.8658	0.0085914
2320.0	0.33074	0.010219	1.8672	0.0090913
2325.0	0.33117	0.010187	1.8696	0.0097166
2330.0	0.33167	0.010132	1.8725	0.0092224
2335.0	0.33219	0.010367	1.8754	0.0080753
2340.0	0.33253	0.010280	1.8773	0.0087493
2345.0	0.33275	0.010306	1.8785	0.0085663
2350.0	0.33290	0.010586	1.8794	0.0070492
2355.0	0.33323	0.010302	1.8813	0.0086011
2360.0	0.33355	0.010376	1.8831	0.0083336
2365.0	0.33389	0.010267	1.8850	0.0089839
2370.0	0.33438	0.0099855	1.8878	0.010765
2375.0	0.33457	0.0099496	1.8889	0.010877
2380.0	0.33520	0.0099838	1.8924	0.010723
2385.0	0.33545	0.0099287	1.8939	0.011086
2390.0	0.33609	0.0096607	1.8975	0.013001
2395.0	0.33664	0.0096603	1.9006	0.012969
2400.0	0.33722	0.0095246	1.9039	0.013759
2405.0	0.33755	0.0098338	1.9057	0.012332
2410.0	0.33818	0.0095449	1.9093	0.013798
2415.0	0.33833	0.0095135	1.9102	0.014009
2420.0	0.33876	0.0093426	1.9126	0.014986
2425.0	0.33939	0.0087699	1.9163	0.018249
2430.0	0.33941	0.0089855	1.9164	0.017105
2435.0	0.33980	0.0091331	1.9185	0.016348
2440.0	0.34040	0.0090394	1.9219	0.017144
2445.0	0.34047	0.0095535	1.9223	0.014342
2450.0	0.34105	0.0092214	1.9256	0.016289
2455.0	0.34136	0.0094057	1.9273	0.015350
2460.0	0.34155	0.0089541	1.9285	0.017736
2465.0	0.34182	0.0091186	1.9300	0.016890
2470.0	0.34255	0.0093653	1.9340	0.015627
2475.0	0.34360	0.0091272	1.9400	0.017306
2480.0	0.34374	0.0091056	1.9408	0.017334
2485.0	0.34396	0.0090702	1.9421	0.017452
2490.0	0.34431	0.0091294	1.9440	0.017212
2495.0	0.34458	0.0094950	1.9455	0.015270
2500.0	0.34513	0.0095385	1.9486	0.015387
2505.0	0.34534	0.0096724	1.9498	0.014602
2510.0	0.34598	0.0096948	1.9534	0.014627
2515.0	0.34594	0.0098519	1.9531	0.014012
2520.0	0.34702	0.0090795	1.9593	0.018086
2525.0	0.34751	0.0093570	1.9621	0.016690
2530.0	0.34781	0.0099826	1.9637	0.013567
2535.0	0.34843	0.0091656	1.9673	0.018331
2540.0	0.34919	0.0089688	1.9716	0.019289
2545.0	0.34971	0.0088200	1.9746	0.021350
2550.0	0.35048	0.0082327	1.9790	0.024936
